Freq.	V(out)
1.78000000000000e+07	(-9.75796792925801e+01dB,-6.16798793459767e+01°)
1.80000000000000e+07	(-1.14084392091595e+02dB,1.15028129751599e+01°)
1.82000000000000e+07	(-1.03516029014811e+02dB,-2.73842380923415e+01°)
1.84000000000000e+07	(-9.88181220650764e+01dB,-6.81548339446383e+01°)
1.86000000000000e+07	(-9.39551353303449e+01dB,-2.43393345151439e+01°)
1.88000000000000e+07	(-9.40303810303798e+01dB,-2.93854459918941e+01°)
1.90000000000000e+07	(-9.20715194403526e+01dB,5.36682665253656e-01°)
1.92000000000000e+07	(-9.59367921100855e+01dB,3.08244564300512e+01°)
1.94000000000000e+07	(-1.02388468288243e+02dB,-4.70330956860426e+01°)
1.96000000000000e+07	(-9.45229527058360e+01dB,-1.62991707241613e+01°)
1.98000000000000e+07	(-1.01692656029768e+02dB,-4.92647806227733e+01°)
2.00000000000000e+07	(-9.17540959853149e+01dB,-7.66209997589955e+01°)
2.02000000000000e+07	(-9.06254647736906e+01dB,-3.72627940994872e+01°)
2.04000000000000e+07	(-9.62461203861020e+01dB,-2.22766835528322e+01°)
2.06000000000000e+07	(-9.36666128004395e+01dB,-6.75863275672195e+01°)
2.08000000000000e+07	(-9.08429857004467e+01dB,-4.30737408047024e+01°)
2.10000000000000e+07	(-9.38362324196317e+01dB,-1.68232884116439e+01°)
2.12000000000000e+07	(-9.09910829741878e+01dB,-3.78549516117425e+01°)
2.14000000000000e+07	(-9.59546415066120e+01dB,-3.52023723849112e+01°)
2.16000000000000e+07	(-9.01352384752093e+01dB,-4.23295437444086e+01°)
2.18000000000000e+07	(-8.83961244830626e+01dB,-1.64331238893932e+01°)
2.20000000000000e+07	(-9.14882983134553e+01dB,6.18636597897620e+01°)
2.22000000000000e+07	(-8.84615409843030e+01dB,-1.56314881842248e+02°)
2.24000000000000e+07	(-8.53406258170961e+01dB,-1.09060660752333e+02°)
2.26000000000000e+07	(-8.71918467731533e+01dB,-4.60357057902216e+01°)
2.28000000000000e+07	(-8.78229614793789e+01dB,-8.06449023890396e+01°)
2.30000000000000e+07	(-8.53665677428457e+01dB,-3.75117719958914e+01°)
2.32000000000000e+07	(-8.36373974688440e+01dB,-5.84622978544832e+01°)
2.34000000000000e+07	(-7.52408326995321e+01dB,-3.37211817168265e+01°)
2.36000000000000e+07	(-7.03393659781744e+01dB,3.19690027671144e+01°)
2.38000000000000e+07	(-7.15631992873029e+01dB,1.10375728539954e+02°)
2.40000000000000e+07	(-7.51987918356414e+01dB,-1.66757844794932e+02°)
2.42000000000000e+07	(-7.99998822257017e+01dB,-1.34753518811417e+01°)
2.44000000000000e+07	(-7.48368597197822e+01dB,1.63476570072567e+02°)
2.46000000000000e+07	(-7.63731973813334e+01dB,-3.82111771117330e+01°)
2.48000000000000e+07	(-7.58421047413714e+01dB,1.58099817340236e+02°)
2.50000000000000e+07	(-7.81467008294404e+01dB,-3.21523970216428e+01°)
2.52000000000000e+07	(-7.88268365871629e+01dB,-1.78382947732430e+02°)
2.54000000000000e+07	(-8.27827386754305e+01dB,-3.70553598023356e+01°)
2.56000000000000e+07	(-7.93458663753424e+01dB,-1.04201004828825e+02°)
