Freq.	V(out)
4.76000000000000e+07	(-8.67465029303327e+01dB,4.32117434328359e+01°)
4.78000000000000e+07	(-8.79298372118019e+01dB,-1.08858169311147e+02°)
4.80000000000000e+07	(-9.21294219752289e+01dB,6.49788716363840e+01°)
4.82000000000000e+07	(-9.10184115137885e+01dB,9.95685656036188e+01°)
4.84000000000000e+07	(-8.60662161795166e+01dB,-1.07265313598878e+02°)
4.86000000000000e+07	(-8.53904100626436e+01dB,5.28055128311001e+01°)
4.88000000000000e+07	(-8.39812177879195e+01dB,-1.21455100453120e+02°)
4.90000000000000e+07	(-8.45750298864535e+01dB,8.37378319152588e+01°)
4.92000000000000e+07	(-8.78885252171386e+01dB,-6.25840868611036e+01°)
4.94000000000000e+07	(-9.88850101792098e+01dB,1.31927359857942e+02°)
4.96000000000000e+07	(-1.10979664169815e+02dB,1.69134853382125e+02°)
4.98000000000000e+07	(-9.27288394471522e+01dB,-1.77066485519683e+02°)
5.00000000000000e+07	(-8.47988165109058e+01dB,2.63703304681888e+01°)
5.02000000000000e+07	(-8.32335669104628e+01dB,-1.39094556929646e+02°)
5.04000000000000e+07	(-9.10790450240339e+01dB,2.00101486303305e+01°)
5.06000000000000e+07	(-8.87753517163383e+01dB,7.59901105923840e+01°)
5.08000000000000e+07	(-8.83326350916762e+01dB,-9.83558503453332e+01°)
5.10000000000000e+07	(-8.56110214668758e+01dB,1.33471827351604e+02°)
5.12000000000000e+07	(-8.23457173680682e+01dB,-5.00524081295150e+01°)
5.14000000000000e+07	(-8.35125762129080e+01dB,1.08715419599484e+02°)
5.16000000000000e+07	(-8.94377370641819e+01dB,-7.69829940488653e+01°)
5.18000000000000e+07	(-8.71453489714728e+01dB,-1.41371082894325e+02°)
5.20000000000000e+07	(-7.94309467223342e+01dB,5.01550900901452e+01°)
5.22000000000000e+07	(-8.08469059573545e+01dB,-1.24835476414985e+02°)
5.24000000000000e+07	(-8.92929344375571e+01dB,1.05221198037885e+02°)
5.26000000000000e+07	(-8.53838746470968e+01dB,-5.93245547880426e+01°)
5.28000000000000e+07	(-8.05901860563662e+01dB,7.79478758602305e+01°)
5.30000000000000e+07	(-8.21016805587907e+01dB,-1.27198800023791e+02°)
5.32000000000000e+07	(-8.77259988724508e+01dB,-8.24911973780161e+01°)
5.34000000000000e+07	(-7.74667679300829e+01dB,5.76642014996448e+01°)
5.36000000000000e+07	(-7.59900230716425e+01dB,-1.53078812686359e+02°)
5.38000000000000e+07	(-7.51496714072532e+01dB,-2.18024364101176e+01°)
5.40000000000000e+07	(-7.42128546929069e+01dB,1.14983691383197e+02°)
5.42000000000000e+07	(-7.50427787193833e+01dB,-1.11641449848550e+02°)
5.44000000000000e+07	(-7.46960581324167e+01dB,2.29547370539277e+01°)
5.46000000000000e+07	(-7.47681366164333e+01dB,1.75196327278757e+02°)
5.48000000000000e+07	(-7.74355321356555e+01dB,-3.15864685274797e+01°)
5.50000000000000e+07	(-8.31381421378601e+01dB,9.20403794478522e+01°)
5.52000000000000e+07	(-8.46094254846272e+01dB,-1.77482049538681e+02°)
5.54000000000000e+07	(-8.37468760168944e+01dB,-6.01617329976670e+01°)
5.56000000000000e+07	(-8.41137164396916e+01dB,1.11768846138988e+02°)
5.58000000000000e+07	(-7.97484281906183e+01dB,-3.66840495367888e+01°)
5.60000000000000e+07	(-7.61779476615167e+01dB,1.43075579490835e+02°)
5.62000000000000e+07	(-7.77970202088056e+01dB,-4.22770300467538e+01°)
5.64000000000000e+07	(-8.69454681870623e+01dB,1.43216563719900e+02°)
5.66000000000000e+07	(-9.01495201385021e+01dB,9.65526954684817e+01°)
5.68000000000000e+07	(-8.42064276517705e+01dB,-8.32212177302206e+01°)
5.70000000000000e+07	(-8.30265736485831e+01dB,9.29324267357904e+01°)
5.72000000000000e+07	(-8.31146250855925e+01dB,-6.80986355175403e+01°)
5.74000000000000e+07	(-8.42696454533999e+01dB,1.30004592332764e+02°)
5.76000000000000e+07	(-9.27190654276568e+01dB,-1.09645654055135e+02°)
5.78000000000000e+07	(-8.25560704180135e+01dB,4.29987097622929e+00°)
5.80000000000000e+07	(-8.06964488611244e+01dB,-1.78366447800802e+02°)
5.82000000000000e+07	(-8.25965224921776e+01dB,-5.52217551039451e+00°)
5.84000000000000e+07	(-8.33168773918037e+01dB,1.60127504005826e+02°)
5.86000000000000e+07	(-8.43334032962848e+01dB,-1.74024705154475e+01°)
5.88000000000000e+07	(-8.95284131229845e+01dB,-1.67354629957886e+02°)
5.90000000000000e+07	(-9.32901154244902e+01dB,8.50167432739569e+01°)
5.92000000000000e+07	(-9.44349506032627e+01dB,-3.65527074621634e+01°)
5.94000000000000e+07	(-8.77961859121311e+01dB,1.63831415067481e+02°)
5.96000000000000e+07	(-8.24112574996319e+01dB,-2.53303352385775e+01°)
5.98000000000000e+07	(-8.42438445203802e+01dB,1.50955800791524e+02°)
6.00000000000000e+07	(-9.79603790898803e+01dB,9.38018689005230e+00°)
6.02000000000000e+07	(-9.80989170635072e+01dB,-1.09027021455070e+02°)
6.04000000000000e+07	(-1.04412877175144e+02dB,-7.51111489252810e+00°)
6.06000000000000e+07	(-9.28591938606941e+01dB,-1.81242222850445e+01°)
6.08000000000000e+07	(-8.52926590218253e+01dB,1.56679830921711e+02°)
6.10000000000000e+07	(-8.58009719382927e+01dB,-1.05812973163501e+01°)
6.12000000000000e+07	(-9.04641388442737e+01dB,-1.68496884191923e+02°)
6.14000000000000e+07	(-1.15919460272550e+02dB,-6.34905867945042e+01°)
6.16000000000000e+07	(-9.41488440684412e+01dB,-1.05819934866168e+01°)
6.18000000000000e+07	(-8.61472246218311e+01dB,1.34147864541640e+02°)
6.20000000000000e+07	(-8.29684212324890e+01dB,-3.32893437806470e+01°)
6.22000000000000e+07	(-8.15612659397302e+01dB,1.74410014564343e+02°)
6.24000000000000e+07	(-8.25932206677221e+01dB,-1.14332526558089e+00°)
